,ID,URL,小区名称,城市,区域,片区,参考均价,建筑年代,总栋数,总户数,开发商,物业费,物业公司,建筑类型,地址
0,1611041622087,http://cd.lianjia.com/xiaoqu/1611041622087,西财骏苑,成都,青羊,西南财大,10665,2004年建成,3栋,925户,四川西财置业公司,1元/平米/月,成都市恒佳物业管理有限责任公司,板楼/塔板结合,(青羊西南财大)二环路西二段45号
0,3011053825555,http://cd.lianjia.com/xiaoqu/3011053825555,富力公馆,成都,青羊,太升路,15109,2012年建成,2栋,1255户,成都富力熊猫城项目开发有限公司,3.8至18元/平米/月,广州天力物业发展有限公司,塔楼,(青羊太升路)天府广场旁顺城大街269号
0,3011052273251,http://cd.lianjia.com/xiaoqu/3011052273251,浣花小区,成都,青羊,浣花溪,9230,2000年建成,22栋,1270户,成都中新悦蓉置业有限公司,0.3元/平米/月,私人承办物业,板楼,(青羊浣花溪)二环路西一段116号
0,3011053922371,http://cd.lianjia.com/xiaoqu/3011053922371,中铁瑞城-锦隆时代,成都,青羊,八宝街,13221,2007年建成,1栋,398户,中铁瑞城置业有限公司\成都市新川藏路建设开发,1.5元/平米/月,业主自筹物业,塔板结合,(青羊八宝街)灯笼街125号
0,1611059033945,http://cd.lianjia.com/xiaoqu/1611059033945,东珠美地,成都,青羊,草市街,12551,2002年建成,1栋,544户,无开发商,1.4元/平米/月,业主自筹物业,板楼,(青羊草市街)东马道街19号
0,1611041792562,http://cd.lianjia.com/xiaoqu/1611041792562,皇冠花园,成都,青羊,贝森,10217,2005年建成,2栋,213户,无开发商,1.3元/平米/月,万和物业,板楼,(青羊贝森)贝森路289号
0,1611061227213,http://cd.lianjia.com/xiaoqu/1611061227213,福华新起点,成都,青羊,人民公园,11532,2004年建成,1栋,258户,成都福华实业开发有限公司,1.5元/平米/月,成都红星物业管理有限公司,塔板结合,(青羊人民公园)小南街128号
0,1611059034318,http://cd.lianjia.com/xiaoqu/1611059034318,财富领地,成都,青羊,草市街,11480,2010年建成,3栋,957户,成都市正成投资开发有限公司,1.2至1.8元/平米/月,成都市中骏物业管理有限公司,板楼,(青羊草市街)北大街19号
0,1611041616877,http://cd.lianjia.com/xiaoqu/1611041616877,金沙愉景一期,成都,青羊,外金沙,11567,2007年建成,10栋,508户,成都市共发实业有限责任公司,1.3元/平米/月,成都亿新物业管理有限公司,塔板结合,(青羊外金沙)清波路388号
0,1611058725216,http://cd.lianjia.com/xiaoqu/1611058725216,浣花南路218号,成都,青羊,浣花溪,21709,2000年建成,10栋,424户,无开发商,0.5元/平米/月,私人承办物业,板楼,(青羊浣花溪)浣花南路218号
0,1611041580834,http://cd.lianjia.com/xiaoqu/1611041580834,仁和世代春天,成都,青羊,西南财大,14354,2005年建成,6栋,520户,成都仁禾房地产开发有限公司,1.6元/平米/月,成都仁和春天物业管理有限公司,塔楼/板楼,(青羊西南财大)二环路西二段37号
0,1611043006658,http://cd.lianjia.com/xiaoqu/1611043006658,天韵金沙杏苑,成都,青羊,金沙,19061,2006年建成,4栋,96户,"成都成房置业有限公司,成房置业有限公司",1.8元/平米/月,成都成房物业有限公司,板楼,(青羊金沙)金阳路30号
0,1611041805848,http://cd.lianjia.com/xiaoqu/1611041805848,上城生活馆,成都,青羊,贝森,10530,2004年建成,3栋,409户,成都天府华侨城实业发展有限公司,1.3元/平米/月,保利金钥匙物业,板楼,(青羊贝森)东顺路191号
0,1611059246711,http://cd.lianjia.com/xiaoqu/1611059246711,时代天骄,成都,青羊,草市街,8315,2003年建成,1栋,593户,成都市华油房地产开发有限有公司,1.2元/平米/月,成都唯嘉物业管理有限责任公司,板楼,(青羊草市街)太升北路64号
0,1611042971341,http://cd.lianjia.com/xiaoqu/1611042971341,海棠月色,成都,青羊,优品道,11357,2002年建成,3栋,507户,成都蓝光房地产公司,1.2至3元/平米/月,成都忠信物业管理有限公司,塔楼/板楼,(青羊优品道)贝森路1号
0,1611061160492,http://cd.lianjia.com/xiaoqu/1611061160492,汇厦少城百花里,成都,青羊,人民公园,18952,2014年建成,1栋,608户,成都铭发置业有限公司,2.18元/平米/月,成都安怡物业管理有限公司,塔楼,(青羊人民公园)文思巷28号
0,1611042045164,http://cd.lianjia.com/xiaoqu/1611042045164,卧龙晓城,成都,青羊,府南新区,9212,2003年建成,7栋,375户,成都金池房地产开发有限公司,1.2至2.4元/平米/月,成都市晓初物业管理有限公司,板楼,(青羊府南新区)青羊大道288号
0,1611041792728,http://cd.lianjia.com/xiaoqu/1611041792728,金沙芙蓉苑,成都,青羊,西单,14018,2005年建成,7栋,679户,暂无信息,1.7至3元/平米/月,四川省润无声物业发展有限责任公司,塔楼/板楼,(青羊西单)金鹏街50号
0,1611041803733,http://cd.lianjia.com/xiaoqu/1611041803733,快乐空间,成都,青羊,府南新区,10068,2005年建成,3栋,1321户,成都千和物业发展有限公司,1.3元/平米/月,成都泰怡物业管理有限公司,板楼,(青羊府南新区)双锦路51号
0,3011053763236,http://cd.lianjia.com/xiaoqu/3011053763236,鼓楼世家,成都,青羊,太升路,14662,2006年建成,1栋,517户,成都信德实业有限公司,2元/平米/月,成都诚信物业管理有限公司,塔楼/塔板结合,"(青羊太升路)鼓楼南街20号, 鼓楼洞街2号"
0,3011055315135,http://cd.lianjia.com/xiaoqu/3011055315135,上品金沙,成都,青羊,金沙,14580,2015年建成,4栋,504户,无开发商,2.1元/平米/月,蓝谷物业管理有限公司,板楼,(青羊金沙)青羊黄苑街222号
0,3011056047329,http://cd.lianjia.com/xiaoqu/3011056047329,柏仕晶舍,成都,青羊,浣花溪,19741,2004年建成,6栋,144户,成都市时代物业开发有限公司,1至2元/平米/月,业主自筹物业,塔楼/板楼/塔板结合,(青羊浣花溪)大石西路66号
0,1611043119108,http://cd.lianjia.com/xiaoqu/1611043119108,艺水芳乡,成都,青羊,贝森,14909,2005年建成,3栋,329户,四川迈伦实业有限责任公司,1.2元/平米/月,世宇物业管理,塔楼/板楼,(青羊贝森)双新南路21号
0,3011056038233,http://cd.lianjia.com/xiaoqu/3011056038233,牧电路12号,成都,青羊,草堂,8501,1996年建成,6栋,382户,无开发商,0.5元/平米/月,私人承办物业,板楼,(青羊草堂)牧电路12号
